"id","type","hostname","fqdn","probe","is_ipv4_only","ip_v4","as_v4","ip_v6","as_v6","city","country","company","nic_handle","geometry_type","latitude","longitude","tlsa_record","is_disabled","date_live","date_decommissioned","hardware_version","geom"
2020,"Anchor","at-wsl-as21013","at-wsl-as21013.anchors.atlas.ripe.net",6686,False,"195.190.26.29",21013,"2a06:fb80:0:ffff::29",21013,"Wels","AT","quattroSEC GmbH","QA172-RIPE","Point","48.16542","14.03664","",False,"2019-12-12 04:20:01",NULL,2,"0101000020E61000006D73637AC2122C405A0D897B2C154840"
2021,"Anchor","is-rey-as1850","is-rey-as1850.anchors.atlas.ripe.net",6740,False,"185.93.159.17",1850,"2001:67c:6c:d59::17",1850,"Reykjavík","IS","Internet á Íslandi hf.","","Point","64.1453368","-21.907267","",False,"2020-02-15 00:20:00.934874",NULL,99,"0101000020E610000073BD6DA642E835C0F0B9B8324D095040"
2024,"Anchor","de-str-as553","de-str-as553.anchors.atlas.ripe.net",6683,False,"129.143.66.65",553,"2001:7c0:0:1012::1",553,"Stuttgart","DE","BelWue-Koordination Universität Stuttgart","BEL553-RIPE","Point","48.7457001","9.1070098","",False,"2019-12-10 20:20:01",NULL,2,"0101000020E6100000F8B30EFDC9362240DD0FD319735F4840"
2026,"Anchor","vn-sgn-as24173","vn-sgn-as24173.anchors.atlas.ripe.net",6718,False,"101.53.31.6",24173,"2401:e800:9800:3::2",24173,"Ho Chi Minh City","VN","NetNam Corp.","","Point","10.7882534","106.7028941","",False,"2020-01-15 10:20:00",NULL,99,"0101000020E610000049038937FCAC5A40EFEB1BF395932540"
2027,"Anchor","ir-qum-as9147-client","ir-qum-as9147-client.anchors.atlas.ripe.net",6720,True,"212.86.79.78",9147,NULL,NULL,"Qom","IR","Qom Islamic Azad University","","Point","34.5754918","50.806257","",True,"2020-01-17 14:20:01","2023-10-05 09:53:16.821139",99,"0101000020E6100000E695EB6D33674940DF0E1EB7A9494140"
2028,"Anchor","ir-thr-as57497-client","ir-thr-as57497-client.anchors.atlas.ripe.net",6694,True,"185.2.15.198",57497,NULL,NULL,"Tehran","IR","Qom Islamic Azad University","","Point","35.7311944","51.8266536","",True,"2019-12-24 12:20:00","2023-10-09 08:30:46.925471",99,"0101000020E6100000728F00C9CFE94940598231C797DD4140"
2031,"Anchor","fr-par-as205344-client","fr-par-as205344-client.anchors.atlas.ripe.net",6684,False,"185.219.15.210",205344,"2a0c:bc00:2:0:54e5:56ff:fe25:cb61",205344,"Paris","FR","Telerys","AA35469-RIPE","Point","48.856614","2.3522219","",True,"2019-12-11 12:20:01","2022-04-22 09:27:51.189402",99,"0101000020E6100000D87A2BB759D10240DBA50D87A56D4840"
2032,"Anchor","be-bru-as35395","be-bru-as35395.anchors.atlas.ripe.net",6682,False,"45.90.160.13",35395,"2a0d:ef00:0:7::12",35395,"Bruxelles","BE","Tiguinet","AA35487-RIPE","Point","50.8503396","4.3517103","",True,"2019-12-10 00:21:04","2022-04-07 13:29:24.039535",99,"0101000020E610000057AAB0BE26681140323F92EDD76C4940"
2033,"Anchor","us-sfo-as47787","us-sfo-as47787.anchors.atlas.ripe.net",6685,False,"185.174.157.222",47787,"2a0d:82c2:0:2::2",47787,"San Francisco","US","Hashpower Unipessoal Lda","HPNT-RIPE","Point","37.5485396","-121.988583","",False,"2019-12-11 20:20:01",NULL,99,"0101000020E61000006C98A1F1447F5EC0CC47AD8B36C64240"
2035,"Anchor","nl-haa-as60781","nl-haa-as60781.anchors.atlas.ripe.net",6713,False,"5.79.112.97",60781,"2001:1af8:4300:a040:aa00:1fff:faee:97",60781,"Haarlem","NL","Leaseweb","","Point","52.391795","4.665141","",True,"2020-01-06 16:20:00","2024-06-01 09:09:41.15737",99,"0101000020E61000003AEAE8B81AA9124040DEAB5626324A40"
2036,"Anchor","cz-prg-as39790","cz-prg-as39790.anchors.atlas.ripe.net",6680,False,"81.91.95.116",39790,"2001:1568:900::116",39790,"Prague","CZ","Web4U s.r.o.","","Point","50.0809788","14.4517755","",False,"2019-12-06 14:20:00",NULL,99,"0101000020E6100000A2444B1E4FE72C40ACD568835D0A4940"
